NAME_GENERALISED,LAT,LON,COUNT
Building_001,42.323853,-71.142003,195
Building_002,42.33196,-71.020173,174
Building_003,42.376043,-71.11868,152
Building_004,42.269478,-71.807783,127
Building_005,42.338551,-71.018253,110
Building_006,42.331876,-71.208402,102
Building_007,42.261006,-71.008988,85
Building_008,42.115454,-72.539978,83
Building_009,42.082543,-71.024638,67
Building_010,42.63898,-71.321141,66
Building_011,41.725351,-71.094162,62
Building_012,42.742751,-71.178588,60
Building_013,42.307905,-71.436196,58
Building_014,42.418722,-71.163912,57
Building_015,42.499248,-70.898204,56
Building_016,42.700273,-71.161357,54
Building_017,42.597055,-71.3697,53
Building_018,42.395317,-71.180284,51
Building_019,42.390445,-71.101033,50
Building_020,42.423844,-71.10923100000001,50
Building_021,42.241557,-71.082432,49
Building_022,42.782945,-71.087436,48
Building_023,42.206676,-70.94584499999998,48
Building_024,42.281593,-71.242414,47
Building_025,42.556659,-70.84496,47
Building_026,42.211656,-72.642448,47
Building_027,42.474862,-70.96218499999999,45
Building_028,42.246872,-71.179462,45
Building_029,42.445222,-71.23001500000001,44
Building_030,42.369451,-71.177925,43
Building_031,42.474208,-71.097665,43
Building_032,42.388921,-71.24226800000001,42
Building_033,42.284822,-71.348811,40
Building_034,42.648044,-71.161751,39
Building_035,42.452752,-71.144319,38
Building_036,41.897892,-70.62403,38
Building_037,42.125451,-72.649734,38
Building_038,42.673909,-71.091334,38
Building_039,42.187364,-71.195971,37
Building_040,42.205416,-71.00216800000003,37
Building_041,42.45184,-73.260685,36
Building_042,41.931653,-71.294503,36
Building_043,42.455723,-71.05901899999999,35
Building_044,42.534279,-70.969782,35
Building_045,42.363534,-72.50729100000001,34
Building_046,42.574174,-70.95051600000001,33
Building_047,42.224319,-70.880673,33
Building_048,42.520876,-71.770611,33
Building_049,41.646686,-70.999158,33
Building_050,42.601977000000005,-71.81586999999999,32
Building_051,42.62885,-70.685875,32
Building_052,42.488769,-71.154438,32
Building_053,41.661303,-70.937913,32
Building_054,42.305932,-71.282917,31
Building_055,41.903324,-71.094987,30
Building_056,41.647227,-70.249978,29
Building_057,42.42938,-71.058706,29
Building_058,42.158692,-71.521419,29
Building_059,41.662727,-70.357208,28
Building_060,42.138838,-72.755911,26
Building_061,42.119006,-71.10365,26
Building_062,42.503227,-71.201713,25
Building_063,42.284767,-71.714228,25
Building_064,42.462911,-71.364496,25
Building_065,42.175737,-71.125385,24
Building_066,42.535183,-71.105423,24
Building_067,42.062378,-72.498111,24
Building_068,42.50436,-71.064061,24
Building_069,42.614671,-72.597063,24
Building_070,42.483953,-71.43849499999999,24
Building_071,42.047565000000006,-72.57113000000001,23
Building_072,42.198708,-71.846006,23
Building_073,42.084858,-71.41057099999998,23
Building_074,42.679723,-71.30068,23
Building_075,42.468059,-70.89126,22
Building_076,42.495629,-70.83582,22
Building_077,42.468432,-71.01394599999999,22
Building_078,42.612088,-71.227845,22
Building_079,42.323342,-71.646236,22
Building_080,42.585541,-71.44025,22
Building_081,42.178993,-71.052654,21
Building_082,41.594939,-70.599243,21
Building_083,42.064731,-72.653477,21
Building_084,42.256208,-72.58103,21
Building_085,42.383367,-71.42107,20
Building_086,42.146286,-71.255604,20
Building_087,42.356491,-72.568632,20
Building_088,42.851284,-70.955837,20
Building_089,41.617623,-70.492713,20
Building_090,42.265435,-72.670813,19
Building_091,42.405938,-71.054649,19
Building_092,42.108463,-71.185182,19
Building_093,42.115139,-70.71033100000001,19
Building_094,42.164569,-70.818844,19
Building_095,41.56651,-70.958229,18
Building_096,42.156203000000005,-71.43034499999999,18
Building_097,42.349617,-71.547214,18
Building_098,42.224096,-71.54048900000001,18
Building_099,42.175668,-72.572257,18
Building_100,42.584206,-71.988737,18
Building_101,42.30539,-71.28366899999997,18
Building_102,42.360427,-71.361099,18
Building_103,42.564647,-71.164516,17
Building_104,41.930477,-71.046214,17
Building_105,42.268426,-71.613309,17
Building_106,42.327044,-72.67463000000001,17
Building_107,42.421005,-70.99036,17
Building_108,41.70692,-70.221117,16
Building_109,41.7132,-70.485737,16
Building_110,42.499295,-71.281889,16
Building_111,42.578222,-71.084398,16
Building_112,42.375541,-70.970646,16
Building_113,42.017302,-71.21641,16
Building_114,42.183577,-72.457812,16
Building_115,42.064024,-71.248401,16
Building_116,42.122956,-70.85631,16
Building_117,42.675551,-73.11810899999999,16
Building_118,42.059669,-72.03404,15
Building_119,42.012797,-71.336578,15
Building_120,42.221851,-73.333044,15
Building_121,41.758163,-71.21418100000001,15
Building_122,42.367858,-73.269763,15
Building_123,42.126883,-72.430952,14
Building_124,42.195951,-71.45343000000001,14
Building_125,42.27901,-72.400468,14
Building_126,41.633619,-70.871306,14
Building_127,41.579794,-71.081822,14
Building_128,42.219645,-71.216768,14
Building_129,42.360502,-71.303433,13
Building_130,42.610513,-71.007118,13
Building_131,42.575924,-72.229618,13
Building_132,42.389071,-71.545864,13
Building_133,41.76935,-69.969034,13
Building_134,42.133935,-71.968025,12
Building_135,41.293416,-70.10216899999999,12
Building_136,42.396824,-71.031348,12
Building_137,42.037278,-70.94045899999999,12
Building_138,42.047075,-71.845805,12
Building_139,41.972376,-70.978773,12
Building_140,42.559673,-71.260947,12
Building_141,42.067804,-70.805713,12
Building_142,42.275462,-72.280158,11
Building_143,42.205062,-70.74297800000001,11
Building_144,41.839798,-71.31804699999999,11
Building_145,42.044307,-70.70604499999999,11
Building_146,41.987196,-70.74194200000001,11
Building_147,42.695743,-73.22211800000001,11
Building_148,41.738479,-71.165065,11
Building_149,42.504256,-71.588513,10
Building_150,41.834412,-70.957166,10
Building_151,42.695981,-70.83564799999999,10
Building_152,41.76104,-70.701779,10
Building_153,41.667083,-70.200793,10
Building_154,42.369417,-71.785036,10
Building_155,42.262428,-70.79888299999999,9
Building_156,42.119967,-70.957211,9
Building_157,42.844794,-70.841499,9
Building_158,42.5546,-71.90544,9
Building_159,42.812141,-70.886646,9
Building_160,42.355801,-71.862574,9
Building_161,41.562579,-70.587349,9
Building_162,41.45716,-70.556101,9
Building_163,42.327044,-72.67463000000002,8
Building_164,41.71746,-70.591824,8
Building_165,42.187794,-72.30846899999997,8
Building_166,42.535931,-71.490569,8
Building_167,42.641379,-70.94344,8
Building_168,42.566573,-71.575135,8
Building_169,41.747513,-70.066223,8
Building_170,41.661363,-70.812024,8
Building_171,41.894223,-70.925689,8
Building_172,42.10481,-72.08774,8
Building_173,41.965341,-71.18178,8
Building_174,41.457484,-70.605097,8
Building_175,42.173103000000005,-71.36375600000001,8
Building_176,42.052671,-71.356858,8
Building_177,42.184599,-71.305307,8
Building_178,42.411887,-71.690005,7
Building_179,42.534146,-71.038333,7
Building_180,42.176526,-71.603588,7
Building_181,42.116244,-71.329274,7
Building_182,42.61176,-71.565269,7
Building_183,41.75495,-70.616158,7
Building_184,42.129251,-70.908736,6
Building_185,42.021617,-71.026717,6
Building_186,42.605437,-72.292074,6
Building_187,42.247211,-71.991867,6
Building_188,42.119228,-71.67182199999999,6
Building_189,42.12826,-71.8671,6
Building_190,42.656952,-70.60463,6
Building_191,41.621629,-69.98195600000001,6
Building_192,42.257755,-71.473526,6
Building_193,42.425506,-71.310812,6
Building_194,42.721495,-70.886637,5
Building_195,42.683108,-71.01833,5
Building_196,41.641994,-70.630719,5
Building_197,41.734214,-70.430683,5
Building_198,42.597445,-72.555278,5
Building_199,42.192246,-71.777649,5
Building_200,42.303174,-73.233924,5
Building_201,42.061166,-71.643628,5
Building_202,41.782888,-70.5321,5
Building_203,42.078974,-70.93939,5
Building_204,41.394406,-70.656447,5
Building_205,41.688804,-70.639267,5
Building_206,42.23416,-71.291167,5
Building_207,42.056913,-70.190488,5
Building_208,41.706839,-70.75095999999999,5
Building_209,42.483569,-71.675585,5
Building_210,42.418848,-72.10659799999999,5
Building_211,42.53662,-71.36183199999999,4
Building_212,42.050239000000005,-70.867359,4
Building_213,42.123007,-71.53140400000001,4
Building_214,42.447924,-71.776045,4
Building_215,42.600633,-70.883303,4
Building_216,42.425955,-71.45625600000001,4
Building_217,42.582607,-71.720464,4
Building_218,42.09387,-71.544519,4
Building_219,42.061338,-71.245802,4
Building_220,42.076682,-71.47449,4
Building_221,42.726188,-70.983328,4
Building_222,42.7539,-71.015935,4
Building_223,42.770406,-70.872417,4
Building_224,42.439941,-71.601879,4
Building_225,42.301969,-73.323024,4
Building_226,42.299625,-71.52842700000001,4
Building_227,41.841572,-69.988926,4
Building_228,42.62556,-73.119828,4
Building_229,42.267441,-71.617492,4
Building_230,42.670643,-71.602858,4
Building_231,41.601508,-70.639317,4
Building_232,41.875179,-70.74671500000001,4
Building_233,42.340233000000005,-70.883301,3
Building_234,42.246125,-73.361858,3
Building_235,41.57072,-70.556682,3
Building_236,42.226949,-72.74158800000001,3
Building_237,41.793699,-70.638745,3
Building_238,41.683488,-70.510786,3
Building_239,42.140346,-70.997861,3
Building_240,41.670154,-70.06519399999999,3
Building_241,41.706123,-70.164823,3
Building_242,42.66816,-72.055644,3
Building_243,41.846878,-71.24486999999999,3
Building_244,42.429688,-71.512514,3
Building_245,41.916805,-70.0271,3
Building_246,42.132051,-71.75031800000001,3
Building_247,42.128937,-71.655787,3
Building_248,42.05257,-72.777353,3
Building_249,42.609509,-72.74698000000001,3
Building_250,42.24158900000001,-71.082651,2
Building_251,42.64042,-70.77117199999999,2
Building_252,42.231947,-71.372963,2
Building_253,42.002634,-70.86370600000001,2
Building_254,42.452045,-73.26054,2
Building_255,42.535857,-73.24113299999999,2
Building_256,42.838603000000006,-71.011997,2
Building_257,42.648697,-71.919896,2
Building_258,42.040515,-71.109329,2
Building_259,41.704066,-70.15065,2
Building_260,42.071188,-72.41771800000001,2
Building_261,42.481395,-72.589793,2
Building_262,42.459222,-72.216335,2
Building_263,42.62101,-71.31481,2
Building_264,41.37295,-70.482349,2
Building_265,41.748854,-70.74053599999998,2
Building_266,42.311693,-71.940282,2
